"record_id","teacher_display_name","source_url","video_id","cid","duration","relative_path","bytes","sha256","resolution","video_codec","audio_codec","fetched_at","handling"
"phy-force-liyongle-001","李永乐","https://www.bilibili.com/video/BV1ZJ4m1M7hT/","BV1ZJ4m1M7hT","1595893565","00:18:13","data/raw/physics/force-pilot/phy-force-liyongle-001/source.mp4","70081313","f4bcc9e2f509f1f6b94ad69015652dcbbaf8bc8f2337774dd70869c61e40b75e","1280x720","h264","aac","2026-08-09T09:13:43.215Z","private_noncommercial_research_only"
"phy-force-liyongle-002","李永乐","https://www.bilibili.com/video/BV11S421R7Ct/","BV11S421R7Ct","1618170316","00:13:15","data/raw/physics/force-pilot/phy-force-liyongle-002/source.mp4","49506916","ee245b5002d12e9d0b7144ec231b934aa6e58c40d914e1f1b884db486b4f42ec","1280x720","h264","aac","2026-08-09T09:14:33.343Z","private_noncommercial_research_only"
"phy-force-liyongle-003","李永乐","https://www.bilibili.com/video/BV1G142187YX/","BV1G142187YX","1622454072","00:16:28","data/raw/physics/force-pilot/phy-force-liyongle-003/source.mp4","67891407","c7e62d680e003d9e5d28305015bd409f9e6e155e67fcaba72b73f9571de39d95","1280x720","h264","aac","2026-08-09T09:14:49.040Z","private_noncommercial_research_only"
"phy-force-liyongle-004","李永乐","https://www.bilibili.com/video/BV1Qf421q7Bb/","BV1Qf421q7Bb","1626950101","00:16:38","data/raw/physics/force-pilot/phy-force-liyongle-004/source.mp4","56167613","3811c42fb32f36e27754926062a1280b0b576edee91adca0d0a8f9a5362ad6d9","1280x720","h264","aac","2026-08-09T09:15:49.884Z","private_noncommercial_research_only"
"phy-force-kunge-003","坤哥物理（实名未核实）","https://www.bilibili.com/video/BV1fChAzBE2r/?p=7","BV1fChAzBE2r#p7","31640914749","01:42:16","data/raw/physics/force-pilot/phy-force-kunge-003/source.mp4","405446079","e4409e94aab76ed26501ebd24e51b09d3454944a09d4a6b37365a75fb9d080e4","1280x720","h264","aac","2026-08-09T09:16:58.085Z","private_noncommercial_research_only"
"phy-force-kunge-005","坤哥物理（实名未核实）","https://www.bilibili.com/video/BV1u1u3z9EcF/?p=8","BV1u1u3z9EcF#p8","31222270356","02:26:31","data/raw/physics/force-pilot/phy-force-kunge-005/source.mp4","613147736","127ed9323274d0dd00f3cc39c4a3b68f3109d74dbfd7fb2d08f87cab008f7241","1280x720","h264","aac","2026-08-09T09:19:25.969Z","private_noncommercial_research_only"
